artist_id	name	genres	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	34	6
49tQo2QULno7gxHutgccqF	LANY	['la pop']	31	0
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	31	12
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	26	8
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	23	15
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	21	12
0rZRTXEmmPmx6gt92tBqIc	Moira Dela Torre	['opm']	20	3
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	19	7
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	18	12
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	17	4
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	16	2
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	16	3
3mIj9lX2MWuHmhNCA7LSCW	The 1975	['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']	15	1
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	14	9
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	14	13
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	14	4
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	13	2
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	13	6
3WGpXCj9YhhfX11TToZcXP	Troye Sivan	['australian pop', 'pop', 'viral pop']	13	5
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	12	12
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	12	9
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	11	8
64M6ah0SkkRsnPGtGiRAbb	Bebe Rexha	['dance pop', 'pop']	11	8
4GvEc3ANtPPjt1ZJllr5Zl	Bazzi	['pop']	11	1
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	11	6
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	11	1
2iB7AJhJmkWkkehY9ccB0j	Ex Battalion	['opm', 'pinoy r&b']	11	9
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	10	10
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	10	5
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	10	8
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	10	3
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	9	4
4DAcJXcjX0zlQAZAPAx4Zb	Ben&Ben	['opm']	9	1
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	9	9
5CCwRZC6euC8Odo6y9X8jr	Rita Ora	['dance pop', 'pop', 'uk pop']	9	4
7tYKF4w9nC0nq9CsPZTHyP	SZA	['pop', 'r&b', 'rap']	9	9
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	9	2
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	9	3
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	9	2
4k9wp4ipHdA1bu1T4x1ZTG	IV Of Spades	['opm', 'p-pop', 'pinoy trap']	8	1
2U5mF0PZqGu6glnz55yY0y	John Roa	['opm', 'p-pop']	8	6
60d24wfXkVzDSfLS6hyCjZ	Martin Garrix	['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']	8	8
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	8	3
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	8	1
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	8	8
3cjEqqelV9zb4BYE3qDQ4O	EXO	['k-pop', 'k-pop boy group']	8	0
2auC28zjQyVTsiZKNgPRGs	RM	['k-rap']	7	2
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	7	7
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	7	5
6ogIjp0fsbUxlqy9q2rvrT	Shanti Dope	['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap']	7	4
5pKCCKE2ajJHZ9KAiaK11H	Rihanna	['barbadian pop', 'pop', 'urban contemporary']	7	5
5fMUXHkw8R8eOP2RNVYEZX	Diplo	['edm', 'electro house', 'moombahton', 'pop dance']	7	7
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	7	4
6cEuCEZu7PAE9ZSzLLc2oQ	R3HAB	['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']	7	7
5p7f24Rk5HkUZsaS3BLG5F	Hailee Steinfeld	['pop']	7	6
5pUo3fmmHT8bhCyHE52hA6	Liam Payne	['pop']	7	7
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	7	1
5F1aoppMtU3OMiltO8ymJ2	Hugh Jackman	['hollywood', 'show tunes']	7	7
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	['pop', 'uk pop']	7	3
2qxJFvFYMEDqd7ui6kSAcq	Zedd	['complextro', 'edm', 'german techno', 'pop', 'pop dance']	6	6
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer	['boy band', 'pop']	6	0
7CajNmpbOovFoOoasH2HaY	Calvin Harris	['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']	6	6
4IWBUUAFIplrNtaOHcJPRM	James Arthur	['pop', 'talent show', 'uk pop']	6	2
31TPClRtHm23RisEBtV3X7	Justin Timberlake	['dance pop', 'pop']	6	3
0b1sIQumIAsNbqAoIClSpy	j-hope	['k-pop', 'k-rap']	6	1
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	6	6
4phGZZrJZRo4ElhRtViYdl	Jason Mraz	['acoustic pop', 'dance pop', 'neo mellow', 'pop']	6	2
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	6	1
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	6	5
0ZED1XzwlLHW4ZaG4lOT6m	Julia Michaels	['pop']	6	4
3e7awlrlDSwF3iM0WBjGMp	Little Mix	['girl group', 'pop', 'talent show', 'uk pop']	6	4
21E3waRsmPlU7jZsS13rcj	Ne-Yo	['dance pop', 'pop', 'r&b', 'urban contemporary']	6	2
4nGp682WMiKS4X217kPw8C	Silent Sanctuary	['opm']	6	1
7DMveApC7UnC2NPfPvlHSU	Cheat Codes	['edm', 'pop', 'pop dance']	6	6
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	6	3
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	5	5
117XFtbZPnCI1EYKjYZWJc	Skusta Clee	['opm']	5	5
0touaoSr4QOLYxBJ9lmGgK	Karencitta	['pinoy edm', 'pinoy r&b', 'pinoy trap']	5	1
07YZf4WDAMNwqr4jfgOZ8y	Jason Derulo	['dance pop', 'pop']	5	4
4xRYI6VqpkE3UwrDrAZL8L	Logic	['conscious hip hop', 'hip hop', 'pop rap', 'rap']	5	5
4ScCswdRlyA23odg9thgIO	Jess Glynne	['pop', 'uk pop']	5	2
30mZI7Hw2MhoarTVYxfyZM	Unique Salonga	['opm', 'pinoy city pop']	5	0
2jnIB6XdLvnJUeNTy5A0J2	Why Don't We	['boy band', 'pop']	5	0
77AiFEVeAVj2ORpC85QVJs	Steve Aoki	['edm', 'electro house', 'pop dance']	5	5
6Dd3NScHWwnW6obMFbl1BH	Daya	['pop']	5	1
0cGUm45nv7Z6M6qdXYQGTX	Kehlani	['pop', 'r&b']	5	5
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	5	4
4qFxP3qN9GsnZDOkAE6x2m	December Avenue	['opm', 'pinoy pop punk']	5	1
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	5	5
4VMYDCV2IEDYJArk749S6m	Daddy Yankee	['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']	5	3
2wUjUUtkb5lvLKcGKsKqsR	Alessia Cara	['canadian contemporary r&b', 'canadian pop', 'pop']	5	3
6MDME20pz9RveH9rEXvrOM	Clean Bandit	['pop', 'uk dance', 'uk funky']	5	5
1z4g3DjTBBZKhvAroFlhOM	Red Velvet	['k-pop', 'k-pop girl group']	5	0
3uWiJPiieoALNDN6Ak3jtd	Emcee Rhenn	['pinoy hip hop', 'tagalog rap']	4	4
3PDFGpPl4ienSn5Vwisfrh	Flow G	['pinoy hip hop', 'pinoy r&b', 'tagalog rap']	4	4
0DnjaQqb436AH1idffI6CQ	Yeng Constantino	['opm']	4	2
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	4	0
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	4	4
76yeOnINtQSXyoEHbkYmtY	Drew Love	[]	4	4
1t2caVgyabZrVDAlmMGraV	Michael Pangilinan	['opm']	4	1
4iHNK0tOyZPYnBU7nGAgpQ	Mariah Carey	['dance pop', 'pop', 'urban contemporary']	4	0
6JL8zeS1NmiOftqZTRgdTz	Meghan Trainor	['hip pop', 'pop']	4	3
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	4	1
7t0rwkOPGlDPEhaOcVtOt9	The Cranberries	['irish rock', 'pop rock', 'rock']	4	0
540vIaP2JwjQb9dm3aArA4	DJ Snake	['edm', 'electronic trap', 'pop', 'pop dance']	4	4
02kJSzxNuaWGqwubyUba0Z	G-Eazy	['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']	4	4
5CiGnKThu5ctn9pBxv7DGa	benny blanco	['pop']	4	4
3RqBeV12Tt7A8xH3zBDDUF	Kelsea Ballerini	['contemporary country', 'country']	4	4
2G7VQ1kVhVfNagytlousgm	Al James	['opm', 'pinoy alternative rap', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap']	4	0
2XHTklRsNMOOQT56Zm3WS4	Parokya Ni Edgar	['opm', 'pinoy reggae']	4	0
3b8QkneNDz4JHKKKlLgYZg	Florida Georgia Line	['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']	4	4
74KM79TiuVKeVCqs8QtB0B	Sabrina Carpenter	['pop']	4	3
0jKQrxK2zHqxyOAyIMrUQt	SUD	['opm']	4	0
