artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	217	147
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	195	108
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	194	121
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	171	78
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	167	140
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	143	72
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	[2018, 2019, 2020, 2021, 2022]	126	77
3drqpTL4sQOckmAfF9i1wg	Summer Cem	['german hip hop']	[2017, 2018, 2019, 2020, 2021]	121	99
6gto7HVNhu4ARE3P3g8Y5Y	Kollegah	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	120	66
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	117	88
2JwyRtuXf2l6sTnSnGVIa1	Farid Bang	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	102	78
3ZuBEj9ppJe8GSdKaMTfMN	Nimo	['german hip hop', 'swedish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	101	83
4lDiJcOJ2GLCK6p9q5BgfK	Kontra K	['christlicher rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	93	45
5p7mWeX4RlvqBCxylfiXdE	KC Rebell	['german drill', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	92	73
18ISxWwWjV6rPLoVCXf1dz	RIN	['german cloud rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021]	91	19
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	85	46
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	84	41
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	83	32
39KEQQAG9JhIt71g9NEVhh	Azet	['albanian hip hop', 'german hip hop']	[2017, 2018, 2019, 2020, 2021]	81	57
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	81	40
