artist_id	name	genres	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	38	3
4h8pGxEIOi7j4me1yhYxlD	LSP	['belarusian hip hop', 'russian alt pop', 'russian hip hop']	34	6
5NipqMGsY4AUeb7kGT8aVz	kizaru	['russian emo rap', 'russian hip hop', 'russian trap']	28	5
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']	25	4
2nAUHbKI7TZShUwFpk6G08	Husky	['russian hip hop', 'russian trap']	22	2
3vvLuXEEf7sl3izJcw0GIn	Skryptonite	['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']	22	16
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	21	6
3MZsBdqDrRTJihTHQrO6Dq	Joji	['viral pop']	18	6
0XNKQFs2Ewb3y0VsFUFc5l	MORGENSHTERN	['russian hip hop', 'russian trap']	17	10
3EsjO0y0DE1GC453Sgyr7Z	FEDUK	['russian hip hop', 'russian trap']	16	4
5rXtHvb8jMNgmSX7Khd77x	pyrokinesis	['russian alt pop', 'russian hip hop']	16	2
4DCHl7YS8J9pe2THEUvarN	Truwer	['central asian hip hop', 'kazakh hip hop', 'russian hip hop']	15	7
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	15	15
0iEtIxbK0KxaSlF7G42ZOp	Metro Boomin	['rap']	15	15
4jIvmo6hfAQ04NSOWPVVA3	кис-кис	['russian alt pop', 'russian punk']	15	1
0hmUwzWBrPHpGWGrYH05c3	Miyagi & Andy Panda	['russian hip hop']	14	1
3IwaLzOzILWyMzjXFWiDbW	JEEMBO	['russian drill', 'russian emo rap', 'russian hip hop', 'russian trap']	14	7
7kB4F3PktJEy9jbwI6ujjZ	Джизус	['russian alt pop', 'russian hip hop']	14	0
2eiThpX5zH6LFmqP2HY1hL	Дора	['russian alt pop', 'russian pop']	14	1
3KtiWEUyKC5lgHedcN6y6C	MAYOT	['russian drill', 'russian hip hop', 'russian trap']	13	4
0j6G5eiOcrSdlyqaYwtxwS	LIZER	['russian hip hop', 'russian trap']	13	0
0yp6xP5xe1qarfugfTixOK	Monetochka	['russian alt pop', 'russian electronic', 'russian pop']	13	3
7dH8w9flSy9w81ilr0xXWe	Boulevard Depo	['russian hip hop', 'russian trap']	13	6
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	13	7
2dIgFjalVxs4ThymZ67YCE	Stray Kids	['k-pop', 'k-pop boy group', 'pop']	13	0
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	12	2
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	12	4
1Ffb6ejR6Fe5IamqA5oRUF	Bring Me The Horizon	['melodic metalcore', 'metalcore', 'modern rock', 'pop punk', 'rock', 'uk metalcore']	12	5
0fA0VVWsXO9YnASrzqfmYu	Kid Cudi	['hip hop', 'ohio hip hop', 'pop rap', 'rap']	12	3
5meD8C7oGK5yUEY2T7ZZ7W	Max Korzh	['belarusian hip hop', 'russian hip hop']	11	0
48Mg7JaclPFMCGf4tXdPQn	DK	['russian hip hop', 'russian rave']	11	0
3Vfd5HJnhjnvdyuQYHtYa2	Markul	['russian hip hop', 'russian trap']	11	4
1WAB4gjjNfQpAgT5SoAbRE	ROCKET	['russian drill', 'russian hip hop', 'russian trap']	11	4
7as5DY4Rz9jac9tgoTrj9H	Basta	['russian gangster rap', 'russian hip hop', 'russian pop']	10	8
7m9RH1V73dYjGv8RgGP39c	алёна швец.	['russian alt pop', 'russian indie']	10	0
5NMwoStnfHT4LdETlJSwDT	Big Baby Tape	['russian hip hop', 'russian trap']	9	2
4KLjSVKOuv50f1worbibu9	Billie Martin	[]	9	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	9	6
69v4ZOOomf1TNp59YYB1j7	Noize MC	['russian hip hop', 'russian reggae', 'russian rock']	9	4
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	['pop']	9	3
4TzGOY9RpErzedN02w8Boh	Платина	['russian drain', 'russian hip hop', 'russian trap']	8	4
2z20q6EEfm6w6PiIKsgtb3	FACE	['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap']	8	0
55jryyk7RhvMbrvoF0ndBh	SLAVA MARLOW	['russian hip hop']	8	3
2Nl6vz4KNIHQjyoOLTadCn	Loqiemean	['russian hip hop', 'russian trap']	8	2
3Th60WEZwIWceINQVE4Ipx	104	['kazakh hip hop', 'russian hip hop', 'russian trap']	8	8
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	7	6
0Cm90jv892OeEegB3ELmvN	Eldzhey	['russian hip hop', 'russian pop']	7	4
7blTwZGiTplsvBEvYOsDot	Ramil'	['russian pop']	7	1
1F8usyx5PbYGWxf0bwdXwA	PHARAOH	['russian emo rap', 'russian grime', 'russian hip hop']	7	3
2n6CVwo43YvjiTgcPxYWrf	ATL	['russian hip hop', 'russian trap']	7	2
0OCyDRYamSDX0nSnJ59W1u	GUF	['russian hip hop']	7	7
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	7	6
1I8cwnCuQZfi6C1eZVrRIF	Klava Koka	['russian dance pop', 'russian pop']	7	3
