artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	215	146
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	173	91
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	171	79
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	168	106
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	158	131
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	153	81
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	[2017, 2018, 2019, 2020, 2021, 2022]	145	69
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	[2018, 2019, 2020, 2021, 2022]	135	79
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021, 2022]	121	98
2JwyRtuXf2l6sTnSnGVIa1	Farid Bang	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	113	77
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	111	82
3drqpTL4sQOckmAfF9i1wg	Summer Cem	['german hip hop']	[2017, 2018, 2019, 2020, 2021]	107	88
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	106	54
6gto7HVNhu4ARE3P3g8Y5Y	Kollegah	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	101	56
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	95	69
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	[2017, 2018, 2019, 2020, 2021, 2022]	94	75
39KEQQAG9JhIt71g9NEVhh	Azet	['albanian hip hop', 'german hip hop']	[2017, 2018, 2019, 2020, 2021]	94	67
3ZuBEj9ppJe8GSdKaMTfMN	Nimo	['german hip hop', 'swedish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	92	77
